Id,Abstract,Task 1
D00684,"The analysis of complex nonlinear systems is often carried out using simpler piecewise linear representations of them.$$$A principled and practical technique is proposed to linearize and evaluate arbitrary continuous nonlinear functions using polygonal (continuous piecewise linear) models under the L1 norm.$$$A thorough error analysis is developed to guide an optimal design of two kinds of polygonal approximations in the asymptotic case of a large budget of evaluation subintervals N. The method allows the user to obtain the level of linearization (N) for a target approximation error and vice versa.$$$It is suitable for, but not limited to, an efficient implementation in modern Graphics Processing Units (GPUs), allowing real-time performance of computationally demanding applications.$$$The quality and efficiency of the technique has been measured in detail on two nonlinear functions that are widely used in many areas of scientific computing and are expensive to evaluate",BACKGROUND OBJECTIVES METHODS METHODS RESULTS
D00743,"Object recognition is a key function in both human and machine vision.$$$While recent studies have achieved fMRI decoding of seen and imagined contents, the prediction is limited to training examples.$$$We present a decoding approach for arbitrary objects, using the machine vision principle that an object category is represented by a set of features rendered invariant through hierarchical processing.$$$We show that visual features including those from a convolutional neural network can be predicted from fMRI patterns and that greater accuracy is achieved for low/high-level features with lower/higher-level visual areas, respectively.$$$Predicted features are used to identify seen/imagined object categories (extending beyond decoder training) from a set of computed features for numerous object images.$$$Furthermore, the decoding of imagined objects reveals progressive recruitment of higher to lower visual representations.$$$Our results demonstrate a homology between human and machine vision and its utility for brain-based information retrieval.",BACKGROUND BACKGROUND METHODS RESULTS METHODS RESULTS CONCLUSIONS
D02133,"Cloud computing changed the way of computing as utility services offered through public network.$$$Selecting multiple providers for various computational requirements improves performance and minimizes cost of cloud services than choosing a single cloud provider.$$$Federated cloud improves scalability, cost minimization, performance maximization, collaboration with other providers, multi-site deployment for fault tolerance and recovery, reliability and less energy consumption.$$$Both providers and consumers could benefit from federated cloud where providers serve the consumers by satisfying Service Level Agreement, minimizing overall management and infrastructure cost; consumers get best services with less deployment cost and high availability.$$$Efficient provisioning of resources to consumers in federated cloud is a challenging task.$$$In this paper, the benefits of utilizing services from federated cloud, architecture with various coupling levels, different optimized resource provisioning methods and challenges associated with it are discussed and a comparative study is carried out over these aspects.",BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES OBJECTIVES CONCLUSIONS
D01176,"Humans are routinely asked to evaluate the performance of other individuals, separating success from failure and affecting outcomes from science to education and sports.$$$Yet, in many contexts, the metrics driving the human evaluation process remain unclear.$$$Here we analyse a massive dataset capturing players' evaluations by human judges to explore human perception of performance in soccer, the world's most popular sport.$$$We use machine learning to design an artificial judge which accurately reproduces human evaluation, allowing us to demonstrate how human observers are biased towards diverse contextual features.$$$By investigating the structure of the artificial judge, we uncover the aspects of the players' behavior which attract the attention of human judges, demonstrating that human evaluation is based on a noticeability heuristic where only feature values far from the norm are considered to rate an individual's performance.",BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS/CONCLUSIONS
D00394,"A basic setup of a two-tier network, where two mobile users exchange messages with a multi-antenna macrocell basestation, is studied from a rate perspective subject to beamforming and power constraints.$$$The communication is facilitated by two femtocell basestations which act as relays as there is no direct link between the macrocell basestation and the mobile users.$$$We propose a scheme based on physical-layer network coding and compute-and-forward combined with a novel approach that solves the problem of beamformer design and power allocation.$$$We also show that the optimal beamformers are always a convex combination of the channels between the macro- and femtocell basestations.$$$We then establish the cut-set bound of the setup to show that the presented scheme almost achieves the capacity of the setup numerically.",BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES/METHODS OBJECTIVES/METHODS/RESULTS
D00971,"A recent independent study resulted in a ranking system which ranked Astronomy and Computing (ASCOM) much higher than most of the older journals highlighting the niche prominence of the particular journal.$$$We investigate the remarkable ascendancy in reputation of ASCOM by proposing a novel differential equation based modeling.$$$The Modeling is a consequence of knowledge discovery from big data-centric methods, namely L1-SVD.$$$The inadequacy of the ranking method in explaining the reason behind the growth in reputation of ASCOM is reasonable to understand given that the study was post-facto.$$$Thus, we propose a growth model by accounting for the behavior of parameters that contribute to the growth of a field.$$$It is worthwhile to spend some time in analysing the cause and control variables behind rapid rise in reputation of a journal in a niche area.$$$We intent to probe and bring out parameters responsible for its growing influence.$$$Delay differential equations are used to model the change of influence on a journal's status by exploiting the effects of historical data.",BACKGROUND METHODS METHODS BACKGROUND METHODS OBJECTIVES OBJECTIVES METHODS
D05608,"The categorization of emotion names, i.e., the grouping of emotion words that have similar emotional connotations together, is a key tool of Social Psychology used to explore people's knowledge about emotions.$$$Without exception, the studies following that research line were based on the gauging of the perceived similarity between emotion names by the participants of the experiments.$$$Here we propose and examine a new approach to study the categories of emotion names - the similarities between target emotion names are obtained by comparing the contexts in which they appear in texts retrieved from the World Wide Web.$$$This comparison does not account for any explicit semantic information; it simply counts the number of common words or lexical items used in the contexts.$$$This procedure allows us to write the entries of the similarity matrix as dot products in a linear vector space of contexts.$$$The properties of this matrix were then explored using Multidimensional Scaling Analysis and Hierarchical Clustering.$$$Our main findings, namely, the underlying dimension of the emotion space and the categories of emotion names, were consistent with those based on people's judgments of emotion names similarities.",BACKGROUND BACKGROUND OBJECTIVES/METHODS METHODS METHODS METHODS RESULTS/CONCLUSIONS
D05403,"Markov Decision Processes (MDPs) have been used to formulate many decision-making problems in science and engineering.$$$The objective is to synthesize the best decision (action selection) policies to maximize expected rewards (or minimize costs) in a given stochastic dynamical environment.$$$In this paper, we extend this model by incorporating additional information that the transitions due to actions can be sequentially observed.$$$The proposed model benefits from this information and produces policies with better performance than those of standard MDPs.$$$The paper also presents an efficient offline linear programming based algorithm to synthesize optimal policies for the extended model.",BACKGROUND OBJECTIVES METHODS RESULTS METHODS
D03995,"External or internal domain-specific languages (DSLs) or (fluent) APIs?$$$Whoever you are -- a developer or a user of a DSL -- you usually have to choose your side; you should not!$$$What about metamorphic DSLs that change their shape according to your needs?$$$We report on our 4-years journey of providing the ""right"" support (in the domain of feature modeling), leading us to develop an external DSL, different shapes of an internal API, and maintain all these languages.$$$A key insight is that there is no one-size-fits-all solution or no clear superiority of a solution compared to another.$$$On the contrary, we found that it does make sense to continue the maintenance of an external and internal DSL.$$$The vision that we foresee for the future of software languages is their ability to be self-adaptable to the most appropriate shape (including the corresponding integrated development environment) according to a particular usage or task.$$$We call metamorphic DSL such a language, able to change from one shape to another shape.",BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS RESULTS CONCLUSIONS CONCLUSIONS
D04919,"The investigation of spatio-temporal dynamics of bacterial cells and their molecular components requires automated image analysis tools to track cell shape properties and molecular component locations inside the cells.$$$In the study of bacteria aging, the molecular components of interest are protein aggregates accumulated near bacteria boundaries.$$$This particular location makes very ambiguous the correspondence between aggregates and cells, since computing accurately bacteria boundaries in phase-contrast time-lapse imaging is a challenging task.$$$This paper proposes an active skeleton formulation for bacteria modeling which provides several advantages: an easy computation of shape properties (perimeter, length, thickness, orientation), an improved boundary accuracy in noisy images, and a natural bacteria-centered coordinate system that permits the intrinsic location of molecular components inside the cell.$$$Starting from an initial skeleton estimate, the medial axis of the bacterium is obtained by minimizing an energy function which incorporates bacteria shape constraints.$$$Experimental results on biological images and comparative evaluation of the performances validate the proposed approach for modeling cigar-shaped bacteria like Escherichia coli.$$$The Image-J plugin of the proposed method can be found online at http://fluobactracker.inrialpes.fr.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS OTHERS
D01380,"A large part of modern day communications are carried out through the medium of E-mails, especially corporate communications.$$$More and more people are using E-mail for personal uses too.$$$Companies also send notifications to their customers in E-mail.$$$In fact, in the Multinational business scenario E-mail is the most convenient and sought-after method of communication.$$$Important features of E-mail such as its speed, reliability, efficient storage options and a large number of added facilities make it highly popular among people from all sectors of business and society.$$$But being largely popular has its negative aspects too.$$$E-mails are the preferred medium for a large number of attacks over the internet.$$$Some of the most popular attacks over the internet include spams, and phishing mails.$$$Both spammers and phishers utilize E-mail services quite efficiently in spite of a large number of detection and prevention techniques already in place.$$$Very few methods are actually good in detection/prevention of spam/phishing related mails but they have higher false positives.$$$These techniques are implemented at the server and in addition to giving higher number of false positives, they add to the processing load on the server.$$$This paper outlines a novel approach to detect not only spam, but also scams, phishing and advertisement related mails.$$$In this method, we overcome the limitations of server-side detection techniques by utilizing some intelligence on the part of users.$$$Keywords parsing, token separation and knowledge bases are used in the background to detect almost all E-mail attacks.$$$The proposed methodology, if implemented, can help protect E-mail users from almost all kinds of unwanted mails with enhanced efficiency, reduced number of false positives while not increasing the load on E-mail servers.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS CONCLUSIONS
D05595,"In the last decade, computer-aided early diagnostics of Alzheimer's Disease (AD) and its prodromal form, Mild Cognitive Impairment (MCI), has been the subject of extensive research.$$$Some recent studies have shown promising results in the AD and MCI determination using structural and functional Magnetic Resonance Imaging (sMRI, fMRI), Positron Emission Tomography (PET) and Diffusion Tensor Imaging (DTI) modalities.$$$Furthermore, fusion of imaging modalities in a supervised machine learning framework has shown promising direction of research.$$$In this paper we first review major trends in automatic classification methods such as feature extraction based methods as well as deep learning approaches in medical image analysis applied to the field of Alzheimer's Disease diagnostics.$$$Then we propose our own design of a 3D Inception-based Convolutional Neural Network (CNN) for Alzheimer's Disease diagnostics.$$$The network is designed with an emphasis on the interior resource utilization and uses sMRI and DTI modalities fusion on hippocampal ROI.$$$The comparison with the conventional AlexNet-based network using data from the Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset (http://adni.loni.usc.edu) demonstrates significantly better performance of the proposed 3D Inception-based CNN.",BACKGROUND OBJECTIVES/RESULTS OBJECTIVES/METHODS/RESULTS OBJECTIVES/METHODS METHODS METHODS METHODS/RESULTS/CONCLUSIONS
D05156,"A recent theoretical analysis shows the equivalence between non-negative matrix factorization (NMF) and spectral clustering based approach to subspace clustering.$$$As NMF and many of its variants are essentially linear, we introduce a nonlinear NMF with explicit orthogonality and derive general kernel-based orthogonal multiplicative update rules to solve the subspace clustering problem.$$$In nonlinear orthogonal NMF framework, we propose two subspace clustering algorithms, named kernel-based non-negative subspace clustering KNSC-Ncut and KNSC-Rcut and establish their connection with spectral normalized cut and ratio cut clustering.$$$We further extend the nonlinear orthogonal NMF framework and introduce a graph regularization to obtain a factorization that respects a local geometric structure of the data after the nonlinear mapping.$$$The proposed NMF-based approach to subspace clustering takes into account the nonlinear nature of the manifold, as well as its intrinsic local geometry, which considerably improves the clustering performance when compared to the several recently proposed state-of-the-art methods.",BACKGROUND OBJECTIVES/RESULTS OBJECTIVES/METHODS/RESULTS OBJECTIVES/METHODS/RESULTS CONCLUSIONS
D04366,"We propose an approach to address two issues that commonly occur during training of unsupervised GANs.$$$First, since GANs use only a continuous latent distribution to embed multiple classes or clusters of data, they often do not correctly handle the structural discontinuity between disparate classes in a latent space.$$$Second, discriminators of GANs easily forget about past generated samples by generators, incurring instability during adversarial training.$$$We argue that these two infamous problems of unsupervised GAN training can be largely alleviated by a learnable memory network to which both generators and discriminators can access.$$$Generators can effectively learn representation of training samples to understand underlying cluster distributions of data, which ease the structure discontinuity problem.$$$At the same time, discriminators can better memorize clusters of previously generated samples, which mitigate the forgetting problem.$$$We propose a novel end-to-end GAN model named memoryGAN, which involves a memory network that is unsupervisedly trainable and integrable to many existing GAN models.$$$With evaluations on multiple datasets such as Fashion-MNIST, CelebA, CIFAR10, and Chairs, we show that our model is probabilistically interpretable, and generates realistic image samples of high visual fidelity.$$$The memoryGAN also achieves the state-of-the-art inception scores over unsupervised GAN models on the CIFAR10 dataset, without any optimization tricks and weaker divergences.",OBJECTIVES BACKGROUND BACKGROUND METHODS METHODS METHODS METHODS RESULTS RESULTS
D00180,"Explaining the unreasonable effectiveness of deep learning has eluded researchers around the globe.$$$Various authors have described multiple metrics to evaluate the capacity of deep architectures.$$$In this paper, we allude to the radius margin bounds described for a support vector machine (SVM) with hinge loss, apply the same to the deep feed-forward architectures and derive the Vapnik-Chervonenkis (VC) bounds which are different from the earlier bounds proposed in terms of number of weights of the network.$$$In doing so, we also relate the effectiveness of techniques like Dropout and Dropconnect in bringing down the capacity of the network.$$$Finally, we describe the effect of maximizing the input as well as the output margin to achieve an input noise-robust deep architecture.",BACKGROUND BACKGROUND OBJECTIVES/METHODS RESULTS CONCLUSIONS
D02580,"Almost all known secret sharing schemes work on numbers.$$$Such methods will have difficulty in sharing graphs since the number of graphs increases exponentially with the number of nodes.$$$We propose a secret sharing scheme for graphs where we use graph intersection for reconstructing the secret which is hidden as a sub graph in the shares.$$$Our method does not rely on heavy computational operations such as modular arithmetic or polynomial interpolation but makes use of very basic operations like assignment and checking for equality, and graph intersection can also be performed visually.$$$In certain cases, the secret could be reconstructed using just pencil and paper by authorised parties but cannot be broken by an adversary even with unbounded computational power.$$$The method achieves perfect secrecy for (2, n) scheme and requires far fewer operations compared to Shamir's algorithm.$$$The proposed method could be used to share objects such as matrices, sets, plain text and even a heterogeneous collection of these.$$$Since we do not require a previously agreed upon encoding scheme, the method is very suitable for sharing heterogeneous collection of objects in a dynamic fashion.",BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS RESULTS RESULTS RESULTS
D06570,"In this paper, we introduce the notion of Plausible Deniability in an information theoretic framework.$$$We consider a scenario where an entity that eavesdrops through a broadcast channel summons one of the parties in a communication protocol to reveal their message (or signal vector).$$$It is desirable that the summoned party have enough freedom to produce a fake output that is likely plausible given the eavesdropper's observation.$$$We examine three variants of this problem -- Message Deniability, Transmitter Deniability, and Receiver Deniability.$$$In the first setting, the message sender is summoned to produce the sent message.$$$Similarly, in the second and third settings, the transmitter and the receiver are required to produce the transmitted codeword, and the received vector respectively.$$$For each of these settings, we examine the maximum communication rate that allows a given minimum rate of plausible fake outputs.$$$For the Message and Transmitter Deniability problems, we fully characterise the capacity region for general broadcast channels, while for the Receiver Deniability problem, we give an achievable rate region for physically degraded broadcast channels.",OBJECTIVES BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES OBJECTIVES OBJECTIVES RESULTS
D01684,"We propose an improvement of an oceanographic three dimensional variational assimilation scheme (3D-VAR), named OceanVar, by introducing a recursive filter (RF) with the third order of accuracy (3rd-RF), instead of a RF with first order of accuracy (1st-RF), to approximate horizontal Gaussian covariances.$$$An advantage of the proposed scheme is that the CPU's time can be substantially reduced with benefits on the large scale applications.$$$Experiments estimating the impact of 3rd-RF are performed by assimilating oceanographic data in two realistic oceanographic applications.$$$The results evince benefits in terms of assimilation process computational time, accuracy of the Gaussian correlation modeling, and show that the 3rd-RF is a suitable tool for operational data assimilation.",OBJECTIVES RESULTS RESULTS CONCLUSIONS
D01567,"In this paper, we present preliminary results of AFEL-REC, a recommender system for social learning environments.$$$AFEL-REC is build upon a scalable software architecture to provide recommendations of learning resources in near real-time.$$$Furthermore, AFEL-REC can cope with any kind of data that is present in social learning environments such as resource metadata, user interactions or social tags.$$$We provide a preliminary evaluation of three recommendation use cases implemented in AFEL-REC and we find that utilizing social data in form of tags is helpful for not only improving recommendation accuracy but also coverage.$$$This paper should be valuable for both researchers and practitioners interested in providing resource recommendations in social learning environments.",OBJECTIVES METHODS OTHERS RESULTS CONCLUSIONS
D06983,"In many cases, government data is still ""locked"" in several ""data silos"", even within the boundaries of a single (inter-)national public organization with disparate and distributed organizational units and departments spread across multiple sites.$$$Opening data and enabling its unified querying from a single site in an efficient and effective way is a semantic application integration and open government data challenge.$$$This paper describes how NARA is using Semantic Web technology to implement an application integration approach within the boundaries of its organization via opening and querying multiple governmental data sources from a single site.$$$The generic approach proposed, namely S3-AI, provides support to answering unified, ontology-mediated, federated queries to data produced and exploited by disparate applications, while these are being located in different organizational sites.$$$S3-AI preserves ownership, autonomy and independency of applications and data.$$$The paper extensively demonstrates S3-AI, using the D2RQ and Fuseki technologies, for addressing the needs of a governmental ""IT helpdesk support"" case.",BACKGROUND OBJECTIVES METHODS METHODS METHODS/RESULTS RESULTS/CONCLUSIONS
D05446,"We are concerned with robust and accurate forecasting of multiphase flow rates in wells and pipelines during oil and gas production.$$$In practice, the possibility to physically measure the rates is often limited; besides, it is desirable to estimate future values of multiphase rates based on the previous behavior of the system.$$$In this work, we demonstrate that a Long Short-Term Memory (LSTM) recurrent artificial network is able not only to accurately estimate the multiphase rates at current time (i.e., act as a virtual flow meter), but also to forecast the rates for a sequence of future time instants.$$$For a synthetic severe slugging case, LSTM forecasts compare favorably with the results of hydrodynamical modeling.$$$LSTM results for a realistic noizy dataset of a variable rate well test show that the model can also successfully forecast multiphase rates for a system with changing flow patterns.",OBJECTIVES BACKGROUND METHODS/RESULTS/CONCLUSIONS RESULTS/CONCLUSIONS RESULTS/CONCLUSIONS
D01109,We generalize previous studies on critical phenomena in communication networks by adding computational capabilities to the nodes to better describe real-world situations such as cloud computing.$$$A set of tasks with random origin and destination with a multi-tier computational structure is distributed on a network modeled as a graph.$$$The execution time (or latency) of each task is statically computed and the sum is used as the energy in a Montecarlo simulation in which the temperature parameter controls the resource allocation optimality.$$$We study the transition to congestion by varying temperature and system load.$$$A method to approximately recover the time-evolution of the system by interpolating the latency probability distributions is presented.$$$This allows us to study the standard transition to the congested phase by varying the task production rate.$$$We are able to reproduce the main known results on network congestion and to gain a deeper insight over the maximum theoretical performance of a system and its sensitivity to routing and load balancing errors.,OBJECTIVES METHODS METHODS METHODS METHODS/RESULTS RESULTS RESULTS
D03128,"Understanding software design practice is critical to understanding modern information systems development.$$$New developments in empirical software engineering, information systems design science and the interdisciplinary design literature combined with recent advances in process theory and testability have created a situation ripe for innovation.$$$Consequently, this paper utilizes these breakthroughs to formulate a process theory of software design practice: Sensemaking-Coevolution-Implementation Theory explains how complex software systems are created by collocated software development teams in organizations.$$$It posits that an independent agent (design team) creates a software system by alternating between three activities: organizing their perceptions about the context, mutually refining their understandings of the context and design space, and manifesting their understanding of the design space in a technological artifact.$$$This theory development paper defines and illustrates Sensemaking-Coevolution-Implementation Theory, grounds its concepts and relationships in existing literature, conceptually evaluates the theory and situates it in the broader context of information systems development.",BACKGROUND BACKGROUND OBJECTIVES/METHODS/RESULTS RESULTS OTHERS
D06528,"The rise of social media provides a great opportunity for people to reach out to their social connections to satisfy their information needs.$$$However, generic social media platforms are not explicitly designed to assist information seeking of users.$$$In this paper, we propose a novel framework to identify the social connections of a user able to satisfy his information needs.$$$The information need of a social media user is subjective and personal, and we investigate the utility of his social context to identify people able to satisfy it.$$$We present questions users post on Twitter as instances of information seeking activities in social media.$$$We infer soft community memberships of the asker and his social connections by integrating network and content information.$$$Drawing concepts from the social foci theory, we identify answerers who share communities with the asker w.r.t. the question.$$$Our experiments demonstrate that the framework is effective in identifying answerers to social media questions.",BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS RESULTS CONCLUSIONS
D04535,"We present a structural clustering algorithm for large-scale datasets of small labeled graphs, utilizing a frequent subgraph sampling strategy.$$$A set of representatives provides an intuitive description of each cluster, supports the clustering process, and helps to interpret the clustering results.$$$The projection-based nature of the clustering approach allows us to bypass dimensionality and feature extraction problems that arise in the context of graph datasets reduced to pairwise distances or feature vectors.$$$While achieving high quality and (human) interpretable clusterings, the runtime of the algorithm only grows linearly with the number of graphs.$$$Furthermore, the approach is easy to parallelize and therefore suitable for very large datasets.$$$Our extensive experimental evaluation on synthetic and real world datasets demonstrates the superiority of our approach over existing structural and subspace clustering algorithms, both, from a runtime and quality point of view.",BACKGROUND/OBJECTIVES METHODS BACKGROUND/METHODS RESULTS METHODS RESULTS/CONCLUSIONS
D04817,"Solar energy generation requires efficient monitoring and management in moving towards technologies for net-zero energy buildings.$$$This paper presents a dependable control system based on the Internet of Things (IoT) to control and manage the energy flow of renewable energy collected by solar panels within a microgrid.$$$Data for optimal control include not only measurements from local sensors but also meteorological information retrieved in real-time from online sources.$$$For system fault tolerance across the whole distributed control system featuring multiple controllers, dependable controllers are developed to control and optimise the tracking performance of photovoltaic arrays to maximally capture solar radiation and maintain system resilience and reliability in real time despite failures of one or more redundant controllers due to a problem with communication, hardware or cybersecurity.$$$Experimental results have been obtained to evaluate the validity of the proposed approach.",BACKGROUND OBJECTIVES/METHODS METHODS METHODS RESULTS/CONCLUSIONS
D01955,"Prices of NAND flash memories are falling drastically due to market growth and fabrication process mastering while research efforts from a technological point of view in terms of endurance and density are very active.$$$NAND flash memories are becoming the most important storage media in mobile computing and tend to be less confined to this area.$$$The major constraint of such a technology is the limited number of possible erase operations per block which tend to quickly provoke memory wear out.$$$To cope with this issue, state-of-the-art solutions implement wear leveling policies to level the wear out of the memory and so increase its lifetime.$$$These policies are integrated into the Flash Translation Layer (FTL) and greatly contribute in decreasing the write performance.$$$In this paper, we propose to reduce the flash memory wear out problem and improve its performance by absorbing the erase operations throughout a dual cache system replacing FTL wear leveling and garbage collection services.$$$We justify this idea by proposing a first performance evaluation of an exclusively cache based system for embedded flash memories.$$$Unlike wear leveling schemes, the proposed cache solution reduces the total number of erase operations reported on the media by absorbing them in the cache for workloads expressing a minimal global sequential rate.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES/METHODS METHODS RESULTS
D00169,"Network quantization is one of network compression techniques to reduce the redundancy of deep neural networks.$$$It reduces the number of distinct network parameter values by quantization in order to save the storage for them.$$$In this paper, we design network quantization schemes that minimize the performance loss due to quantization given a compression ratio constraint.$$$We analyze the quantitative relation of quantization errors to the neural network loss function and identify that the Hessian-weighted distortion measure is locally the right objective function for the optimization of network quantization.$$$As a result, Hessian-weighted k-means clustering is proposed for clustering network parameters to quantize.$$$When optimal variable-length binary codes, e.g., Huffman codes, are employed for further compression, we derive that the network quantization problem can be related to the entropy-constrained scalar quantization (ECSQ) problem in information theory and consequently propose two solutions of ECSQ for network quantization, i.e., uniform quantization and an iterative solution similar to Lloyd's algorithm.$$$Finally, using the simple uniform quantization followed by Huffman coding, we show from our experiments that the compression ratios of 51.25, 22.17 and 40.65 are achievable for LeNet, 32-layer ResNet and AlexNet, respectively.",BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS RESULTS
D01415,"Understanding and interacting with everyday physical scenes requires rich knowledge about the structure of the world, represented either implicitly in a value or policy function, or explicitly in a transition model.$$$Here we introduce a new class of learnable models--based on graph networks--which implement an inductive bias for object- and relation-centric representations of complex, dynamical systems.$$$Our results show that as a forward model, our approach supports accurate predictions from real and simulated data, and surprisingly strong and efficient generalization, across eight distinct physical systems which we varied parametrically and structurally.$$$We also found that our inference model can perform system identification.$$$Our models are also differentiable, and support online planning via gradient-based trajectory optimization, as well as offline policy optimization.$$$Our framework offers new opportunities for harnessing and exploiting rich knowledge about the world, and takes a key step toward building machines with more human-like representations of the world.",BACKGROUND OBJECTIVES/METHODS METHODS/RESULTS METHODS/RESULTS METHODS/RESULTS CONCLUSIONS
D06319,"CT protocol design and quality control would benefit from automated tools to estimate the quality of generated CT images.$$$These tools could be used to identify erroneous CT acquisitions or refine protocols to achieve certain signal to noise characteristics.$$$This paper investigates blind estimation methods to determine global signal strength and noise levels in chest CT images.$$$Methods: We propose novel performance metrics corresponding to the accuracy of noise and signal estimation.$$$We implement and evaluate the noise estimation performance of six spatial- and frequency- based methods, derived from conventional image filtering algorithms.$$$Algorithms were tested on patient data sets from whole-body repeat CT acquisitions performed with a higher and lower dose technique over the same scan region.$$$Results: The proposed performance metrics can evaluate the relative tradeoff of filter parameters and noise estimation performance.$$$The proposed automated methods tend to underestimate CT image noise at low-flux levels.$$$Initial application of methodology suggests that anisotropic diffusion and Wavelet-transform based filters provide optimal estimates of noise.$$$Furthermore, methodology does not provide accurate estimates of absolute noise levels, but can provide estimates of relative change and/or trends in noise levels.",BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS RESULTS RESULTS CONCLUSIONS CONCLUSIONS OTHERS
D00707,"A robust and informative local shape descriptor plays an important role in mesh registration.$$$In this regard, spectral descriptors that are based on the spectrum of the Laplace-Beltrami operator have gained a spotlight among the researchers for the last decade due to their desirable properties, such as isometry invariance.$$$Despite such, however, spectral descriptors often fail to give a correct similarity measure for non-isometric cases where the metric distortion between the models is large.$$$Hence, they are in general not suitable for the registration problems, except for the special cases when the models are near-isometry.$$$In this paper, we investigate a way to develop shape descriptors for non-isometric registration tasks by embedding the spectral shape descriptors into a different metric space where the Euclidean distance between the elements directly indicates the geometric dissimilarity.$$$We design and train a Siamese deep neural network to find such an embedding, where the embedded descriptors are promoted to rearrange based on the geometric similarity.$$$We found our approach can significantly enhance the performance of the conventional spectral descriptors for the non-isometric registration tasks, and outperforms recent state-of-the-art method reported in literature.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES/METHODS METHODS RESULTS/CONCLUSIONS
D01672,"Microscopic histology image analysis is a cornerstone in early detection of breast cancer.$$$However these images are very large and manual analysis is error prone and very time consuming.$$$Thus automating this process is in high demand.$$$We proposed a hierarchical system of convolutional neural networks (CNN) that classifies automatically patches of these images into four pathologies: normal, benign, in situ carcinoma and invasive carcinoma.$$$We evaluated our system on the BACH challenge dataset of image-wise classification and a small dataset that we used to extend it.$$$Using a train/test split of 75%/25%, we achieved an accuracy rate of 0.99 on the test split for the BACH dataset and 0.96 on that of the extension.$$$On the test of the BACH challenge, we've reached an accuracy of 0.81 which rank us to the 8th out of 51 teams.",BACKGROUND BACKGROUND BACKGROUND/OBJECTIVES OBJECTIVES/METHODS METHODS RESULTS RESULTS/CONCLUSIONS
D04202,"Future wireless systems are expected to provide a wide range of services to more and more users.$$$Advanced scheduling strategies thus arise not only to perform efficient radio resource management, but also to provide fairness among the users.$$$On the other hand, the users' perceived quality, i.e., Quality of Experience (QoE), is becoming one of the main drivers within the schedulers design.$$$In this context, this paper starts by providing a comprehension of what is QoE and an overview of the evolution of wireless scheduling techniques.$$$Afterwards, a survey on the most recent QoE-based scheduling strategies for wireless systems is presented, highlighting the application/service of the different approaches reported in the literature, as well as the parameters that were taken into account for QoE optimization.$$$Therefore, this paper aims at helping readers interested in learning the basic concepts of QoE-oriented wireless resources scheduling, as well as getting in touch with the present time research frontier.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES CONCLUSIONS
D04527,"Object queries are essential in information seeking and decision making in vast areas of applications.$$$However, a query may involve complex conditions on objects and sets, which can be arbitrarily nested and aliased.$$$The objects and sets involved as well as the demand---the given parameter values of interest---can change arbitrarily.$$$How to implement object queries efficiently under all possible updates, and furthermore to provide complexity guarantees?$$$This paper describes an automatic method.$$$The method allows powerful queries to be written completely declaratively.$$$It transforms demand as well as all objects and sets into relations.$$$Most importantly, it defines invariants for not only the query results, but also all auxiliary values about the objects and sets involved, including those for propagating demand, and incrementally maintains all of them.$$$Implementation and experiments with problems from a variety of application areas, including distributed algorithms and probabilistic queries, confirm the analyzed complexities, trade-offs, and significant improvements over prior work.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS METHODS METHODS RESULTS
